2025-08-22;21:38:34.779;[0] PING;21:38:35.600;[0/0] PONG (1)
2025-08-22;21:38:35.164;[0] PING;21:38:36.082;[1/0] PONG (2)
2025-08-22;21:38:37.782;[1] PING;21:38:38.550;[3/1] PONG (2)
2025-08-22;21:38:38.550;[1] PING;21:38:39.415;[4/1] PONG (1)
2025-08-22;21:38:40.107;[2] PING;21:38:40.825;[5/2] PONG (1)
2025-08-22;21:38:40.091;[2] PING;21:38:40.872;[6/2] PONG (2)
2025-08-22;21:38:41.230;[3] PING;21:38:41.928;[7/3] PONG (2)
2025-08-22;21:38:42.546;[3] PING;21:38:43.011;[8/3] PONG (1)
2025-08-22;21:38:42.717;[4] PING;21:38:43.336;[9/4] PONG (2)
2025-08-22;21:38:44.021;[4] PING;21:38:44.535;[11/4] PONG (1)
2025-08-22;21:38:44.191;[5] PING;21:38:44.940;[12/5] PONG (2)
2025-08-22;21:38:46.672;[6] PING;21:38:47.295;[13/6] PONG (2)
2025-08-22;21:38:47.265;[5] PING;21:38:47.852;[14/5] PONG (1)
2025-08-22;21:38:48.756;[7] PING;21:38:49.174;[16/7] PONG (2)
2025-08-22;21:38:48.616;[6] PING;21:38:49.394;[17/6] PONG (1)
2025-08-22;21:38:50.979;[7] PING;21:38:51.179;[18/7] PONG (1)
2025-08-22;21:38:51.612;[8] PING;21:38:51.955;[19/8] PONG (2)
2025-08-22;21:38:52.883;[8] PING;21:38:53.690;[21/8] PONG (1)
2025-08-22;21:38:54.884;[9] PING;21:38:55.197;[22/9] PONG (2)
2025-08-22;21:38:55.367;[9] PING;21:38:56.047;[23/9] PONG (1)
2025-08-22;21:38:57.361;[10] PING;(проигнорировано);(проигнорировано)
2025-08-22;21:38:58.974;[10] PING;21:38:59.534;[25/10] PONG (1)
2025-08-22;21:39:00.918;[11] PING;(проигнорировано);(проигнорировано)
2025-08-22;21:39:01.741;[11] PING;(проигнорировано);(проигнорировано)
2025-08-22;21:39:04.321;[12] PING;(проигнорировано);(проигнорировано)
2025-08-22;21:39:05.004;[12] PING;21:39:05.811;[27/12] PONG (2)
2025-08-22;21:39:06.167;[13] PING;21:39:06.415;[28/13] PONG (2)
2025-08-22;21:39:07.381;[14] PING;21:39:07.839;[29/14] PONG (2)
2025-08-22;21:39:08.013;[13] PING;21:39:08.310;[30/13] PONG (1)
2025-08-22;21:39:09.729;[14] PING;21:39:10.465;[32/14] PONG (1)
2025-08-22;21:39:10.465;[15] PING;21:39:11.331;[33/15] PONG (2)
2025-08-22;21:39:12.076;[15] PING;(проигнорировано);(проигнорировано)
2025-08-22;21:39:12.355;[16] PING;21:39:12.695;[34/16] PONG (2)
2025-08-22;21:39:14.694;[16] PING;21:39:15.694;[36/16] PONG (1)
2025-08-22;21:39:15.506;[17] PING;21:39:16.191;[37/17] PONG (2)
2025-08-22;21:39:16.982;[17] PING;21:39:17.802;[38/17] PONG (1)
2025-08-22;21:39:17.416;[18] PING;21:39:18.401;[39/18] PONG (2)
2025-08-22;21:39:20.030;[18] PING;(проигнорировано);(проигнорировано)
2025-08-22;21:39:20.325;[19] PING;21:39:21.239;[41/19] PONG (2)
2025-08-22;21:39:23.465;[20] PING;21:39:23.915;[43/20] PONG (2)
2025-08-22;21:39:23.311;[19] PING;21:39:24.086;[44/19] PONG (1)
2025-08-22;21:39:25.405;[21] PING;21:39:26.001;[45/21] PONG (2)
2025-08-22;21:39:25.922;[20] PING;21:39:26.047;[46/20] PONG (1)
2025-08-22;21:39:27.123;[21] PING;21:39:27.969;[47/21] PONG (1)
2025-08-22;21:39:28.594;[22] PING;21:39:29.324;[49/22] PONG (2)
2025-08-22;21:39:29.855;[23] PING;21:39:30.072;[50/23] PONG (2)
2025-08-22;21:39:29.885;[22] PING;21:39:30.165;[51/22] PONG (1)
2025-08-22;21:39:32.499;[23] PING;21:39:33.176;[52/23] PONG (1)
2025-08-22;21:39:32.654;[24] PING;21:39:33.411;[53/24] PONG (2)
2025-08-22;21:39:34.319;[24] PING;21:39:35.029;[55/24] PONG (1)
2025-08-22;21:39:35.168;[25] PING;21:39:35.759;[56/25] PONG (2)
2025-08-22;21:39:35.633;[25] PING;21:39:36.176;[57/25] PONG (1)
2025-08-22;21:39:37.867;[26] PING;21:39:38.007;[58/26] PONG (1)
2025-08-22;21:39:38.596;[26] PING;21:39:39.016;[60/26] PONG (2)
2025-08-22;21:39:40.558;[27] PING;21:39:40.975;[61/27] PONG (1)
2025-08-22;21:39:41.687;[27] PING;(проигнорировано);(проигнорировано)
2025-08-22;21:39:42.833;[28] PING;21:39:43.158;[62/28] PONG (1)
